Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,RWANDA,"13,672.29",0.0163,"12,523.63",0.0148,693.77,0.0006,"23,185.70",0.0158,"42,350.05",0.0259,"53,082.73",0.0279,16.67,0,0.6,0,"1,187.38",0.0006,"1,548.06",0.0008,"1,814.90",0.0008,"2,979.43",0.0013,"1,447.54",0.0007,"1,544.84",0.0005,981.28,0.0003,"1,590.77",0.0004,"17,33,668.20",2.7713
179,SAHARWI A.DM RP,27.77,0,"8,392.61",0.0099,475.74,0.0004,72.95,0,,,0.19,0,"1,514.31",0.0008,"1,461.21",0.0009,153.38,0.0001,89.02,0,106.66,0,170.67,0.0001,"43,35,888.56",2.0082,"65,31,013.73",2.0753,372.59,0.0001,429.89,0.0001,"1,43,098.45",0.2287
180,SAMOA,317.69,0.0004,676.76,0.0008,"21,29,607.06",1.8731,"1,048.23",0.0007,"1,085.24",0.0007,"2,643.41",0.0014,28.25,0,173.14,0.0001,619.85,0.0003,573.55,0.0003,827.19,0.0004,"1,060.98",0.0005,"5,15,979.11",0.239,"7,10,869.69",0.2259,"1,217.87",0.0003,"1,267.62",0.0004,"14,511.94",0.0232
181,SAO TOME,459.77,0.0005,579.68,0.0007,"95,671.91",0.0841,366.64,0.0003,,,0.19,0,894.71,0.0005,609.46,0.0004,"34,25,390.05",1.8521,"34,86,798.01",1.7821,"38,85,424.45",1.6837,"44,26,685.97",1.9941,"67,367.78",0.0312,"67,002.65",0.0213,"86,27,137.38",2.3822,"95,74,899.22",2.6455,"10,483.44",0.0168
182,SAUDI ARAB,"22,94,014.13",2.7285,"18,55,230.35",2.1942,"12,295.18",0.0108,"27,20,819.82",1.856,488.26,0.0003,558.88,0.0003,"68,02,968.33",3.5874,"41,71,203.04",2.4302,"4,24,647.28",0.2296,"4,66,840.96",0.2386,"4,46,080.92",0.1933,"3,38,825.33",0.1526,"40,948.68",0.019,"33,524.71",0.0107,"9,11,452.81",0.2517,"7,76,052.47",0.2144,"48,860.37",0.0781
183,SENEGAL,"66,069.08",0.0786,"89,332.24",0.1057,"24,654.74",0.0217,"1,78,241.95",0.1216,"53,24,443.04",3.2579,"73,86,393.58",3.8773,"3,17,315.94",0.1673,"3,66,106.26",0.2133,"33,563.28",0.0181,"38,055.09",0.0195,"50,658.02",0.022,"59,371.12",0.0267,"1,12,386.43",0.0521,"1,33,151.65",0.0423,"66,415.23",0.0183,"88,482.05",0.0244,"21,60,749.64",3.454
184,SEYCHELLES,"41,355.12",0.0492,"9,504.44",0.0112,"44,73,173.31",3.9343,"16,674.71",0.0114,"2,67,321.84",0.1636,"2,58,006.51",0.1354,"25,865.28",0.0136,"28,297.52",0.0165,"24,110.44",0.013,"27,125.53",0.0139,"58,633.27",0.0254,"47,968.93",0.0216,"64,38,216.92",2.982,"83,01,294.51",2.6378,"52,144.85",0.0144,"63,089.21",0.0174,400.54,0.0006
185,SIERRA LEONE,"21,858.39",0.026,"17,700.98",0.0209,"27,087.36",0.0238,"41,642.12",0.0284,,,"19,295.00",0.0101,"19,870.85",0.0105,"22,440.46",0.0131,"62,807.20",0.034,"60,220.23",0.0308,"78,316.02",0.0339,"81,642.62",0.0368,1.25,0,69.39,0,"1,91,421.25",0.0529,"2,21,577.45",0.0612,"33,982.43",0.0543
186,SINGAPORE,"37,75,688.18",4.4908,"35,94,829.70",4.2516,"85,230.28",0.075,"80,36,299.98",5.4819,"21,111.49",0.0129,"30,852.01",0.0162,"49,267.81",0.026,"59,457.02",0.0346,"64,11,508.51",3.4667,"65,78,930.91",3.3626,"80,94,224.79",3.5074,"63,02,692.37",2.8392,"1,15,333.49",0.0534,"1,27,543.53",0.0405,"96,18,496.34",2.6559,"1,19,39,242.02",3.2988,"80,367.65",0.1285
187,SLOVAK REP,"16,430.93",0.0195,"16,889.40",0.02,518.22,0.0005,"45,324.51",0.0309,"1,00,327.44",0.0614,"60,136.72",0.0316,"59,85,397.67",3.1563,"50,53,132.22",2.9441,1.12,0,5.07,0,,,55.66,0,"2,62,526.64",0.1216,"3,68,868.89",0.1172,8.96,0,375.1,0.0001,706.15,0.0011
188,SLOVENIA,"73,298.14",0.0872,"91,744.36",0.1085,"40,621.27",0.0357,"1,08,597.55",0.0741,"73,99,496.63",4.5276,"74,96,620.27",3.9352,"83,687.63",0.0441,"89,899.81",0.0524,"97,951.02",0.053,"98,261.68",0.0502,"1,01,963.44",0.0442,"98,144.51",0.0442,"1,218.31",0.0006,"1,379.83",0.0004,"1,52,851.52",0.0422,"1,59,783.45",0.0441,"1,06,769.74",0.1707
189,SOLOMON IS,408.87,0.0005,443.5,0.0005,"17,88,466.08",1.573,576.15,0.0004,"58,234.13",0.0356,"63,120.16",0.0331,"1,50,260.67",0.0792,"1,73,628.57",0.1012,"1,68,650.48",0.0912,"1,83,188.25",0.0936,"2,19,635.21",0.0952,"2,35,877.20",0.1063,"4,10,482.13",0.1901,"5,55,705.30",0.1766,"4,91,400.52",0.1357,"4,85,870.85",0.1342,"12,09,738.20",1.9338
190,SOMALIA,"30,883.97",0.0367,"8,282.32",0.0098,"11,68,259.91",1.0275,"71,097.63",0.0485,"1,49,474.91",0.0915,"1,27,661.24",0.067,"3,222.72",0.0017,"1,787.76",0.001,"1,542.97",0.0008,823.6,0.0004,"1,789.42",0.0008,"1,435.80",0.0006,"29,07,507.88",1.3467,"45,35,311.16",1.4411,"2,158.18",0.0006,"2,476.01",0.0007,"3,233.59",0.0052
191,SOUTH AFRICA,"8,99,429.11",1.0698,"9,75,125.38",1.1533,"15,95,089.35",1.4029,"22,72,965.55",1.5505,826.53,0.0005,"1,246.50",0.0007,"2,15,736.09",0.1138,"3,19,004.63",0.1859,"3,37,900.53",0.1827,"2,93,485.63",0.15,"3,77,208.19",0.1635,"4,14,335.12",0.1866,"16,937.96",0.0078,"20,054.00",0.0064,"7,61,248.09",0.2102,"6,79,001.11",0.1876,"6,61,835.41",1.0579
192,SPAIN,"11,38,792.36",1.3545,"9,60,376.26",1.1358,83.38,0.0001,"14,36,677.78",0.98,"99,176.32",0.0607,"1,28,726.06",0.0676,"32,36,326.24",1.7066,"23,40,660.73",1.3637,"23,77,797.85",1.2857,"24,65,980.41",1.2604,"28,33,396.89",1.2278,"29,11,431.12",1.3115,"23,96,170.03",1.1098,"35,24,400.15",1.1199,"67,87,323.04",1.8741,"72,08,657.83",1.9917,"5,95,987.85",0.9527
193,SRI LANKA DSR,"10,89,497.01",1.2959,"10,28,960.86",1.2169,335.73,0.0003,"20,95,145.80",1.4292,"27,80,338.15",1.7012,"30,76,994.55",1.6152,"19,25,068.35",1.0151,"21,21,294.92",1.2359,"2,187.11",0.0012,"2,280.08",0.0012,"7,358.86",0.0032,"14,252.47",0.0064,"25,85,729.09",1.1976,"43,33,369.93",1.377,"26,150.10",0.0072,"34,542.26",0.0095,79.77,0.0001
194,ST HELENA,85.81,0.0001,4.32,0,"1,178.72",0.001,21.97,0,"15,59,232.50",0.9541,"17,48,989.57",0.9181,"41,03,801.13",2.1641,"34,65,990.44",2.0194,"22,96,438.92",1.2417,"25,75,284.37",1.3163,"29,21,727.89",1.2661,"27,95,371.20",1.2593,125.92,0.0001,,,"37,41,006.85",1.033,"39,67,517.76",1.0962,305.94,0.0005
195,ST KITT N A,322.13,0.0004,695.16,0.0008,25.47,0,324.49,0.0002,"21,68,769.33",1.327,"27,64,366.96",1.4511,130.58,0.0001,106.3,0.0001,"26,23,276.92",1.4184,"28,86,971.31",1.4756,"32,99,621.00",1.4298,"26,93,454.09",1.2133,729.47,0.0003,"1,943.43",0.0006,"40,92,266.91",1.13,"34,11,733.95",0.9427,"2,033.63",0.0033
196,ST LUCIA,494.83,0.0006,561.8,0.0007,165.27,0.0001,644.79,0.0004,18.27,0,17.59,0,768.67,0.0004,"1,447.53",0.0008,14.07,0,3.64,0,11.35,0,227.24,0.0001,"2,510.20",0.0012,"3,035.60",0.001,41.86,0,0.13,0,539.62,0.0009
197,ST PIERRE,1.31,0,23.98,0,"2,22,413.79",0.1956,,,343,0.0002,743.53,0.0004,"1,305.63",0.0007,"1,760.81",0.001,"2,074.05",0.0011,"1,851.52",0.0009,"1,666.99",0.0007,"1,811.56",0.0008,465.51,0.0002,630.35,0.0002,"2,118.70",0.0006,"4,136.33",0.0011,18.15,0
198,ST VINCENT,371.07,0.0004,170.55,0.0002,"5,491.11",0.0048,299.26,0.0002,564.76,0.0003,"1,387.34",0.0007,0.53,0,,,"2,902.47",0.0016,"2,616.71",0.0013,"2,782.26",0.0012,"2,293.13",0.001,"1,464.95",0.0007,"1,478.41",0.0005,"4,132.72",0.0011,"6,018.27",0.0017,"72,843.43",0.1164
199,SUDAN,"2,21,794.09",0.2638,"2,18,200.91",0.2581,"39,222.79",0.0345,"3,40,626.09",0.2324,21.87,0,19.21,0,465.04,0.0002,354.76,0.0002,,,6.72,0,9.64,0,,,"7,56,600.59",0.3504,"8,02,774.62",0.2551,954.51,0.0003,"1,973.10",0.0005,"4,550.46",0.0073
200,SURINAME,"6,364.85",0.0076,"7,848.80",0.0093,"2,85,790.69",0.2514,"5,055.35",0.0034,190.25,0.0001,"1,106.16",0.0006,"5,39,457.01",0.2845,"5,10,963.50",0.2977,524.93,0.0003,442.14,0.0002,513.23,0.0002,483.23,0.0002,"12,658.29",0.0059,"12,955.51",0.0041,"2,151.12",0.0006,534.58,0.0001,,
201,SWAZILAND,"20,585.39",0.0245,"9,431.24",0.0112,"3,13,790.11",0.276,"11,158.41",0.0076,"4,11,556.32",0.2518,"5,21,298.39",0.2736,"10,770.94",0.0057,"8,408.44",0.0049,,,9.82,0,"1,038.74",0.0005,770.81,0.0003,"18,071.50",0.0084,"20,021.34",0.0064,"14,69,247.73",0.4057,"6,66,338.50",0.1841,"9,463.65",0.0151
202,SWEDEN,"2,57,963.42",0.3068,"2,25,192.81",0.2663,"2,23,935.08",0.197,"3,95,277.85",0.2696,"16,514.22",0.0101,"14,597.87",0.0077,"24,595.39",0.013,"38,746.90",0.0226,"5,02,101.20",0.2715,"5,30,258.97",0.271,"6,43,454.38",0.2788,"7,79,108.26",0.351,"5,64,562.17",0.2615,"7,72,488.35",0.2455,"9,866.33",0.0027,"24,185.93",0.0067,"1,63,948.82",0.2621
203,SWITZERLAND,"3,52,525.70",0.4193,"2,78,424.82",0.3293,"10,47,916.94",0.9217,"5,27,956.45",0.3601,"26,056.81",0.0159,"13,696.20",0.0072,"4,52,646.71",0.2387,"4,47,551.80",0.2608,"7,039.96",0.0038,"11,197.48",0.0057,"15,734.17",0.0068,"22,105.25",0.01,"9,34,060.86",0.4326,"10,05,377.83",0.3195,,,87.9,0,"3,13,245.93",0.5007
204,SYRIA,"1,66,657.08",0.1982,"1,63,875.33",0.1938,"8,305.24",0.0073,"2,56,823.96",0.1752,"3,73,527.33",0.2286,"4,44,585.95",0.2334,"6,53,874.89",0.3448,"6,42,128.92",0.3741,"26,504.73",0.0143,"21,078.01",0.0108,,,0.97,0,"92,167.71",0.0427,"78,549.93",0.025,"11,884.64",0.0033,"20,512.93",0.0057,"17,511.06",0.028
205,TAIWAN,"6,68,173.16",0.7947,"8,81,271.49",1.0423,"6,70,141.48",0.5894,"15,98,615.65",1.0905,"6,07,906.98",0.372,"10,73,696.16",0.5636,"1,14,530.36",0.0604,"89,609.84",0.0522,"4,75,408.04",0.2571,"4,97,237.23",0.2541,"13,347.82",0.0058,"13,192.95",0.0059,"12,00,649.37",0.5561,"20,55,115.69",0.653,"7,72,058.50",0.2132,"8,43,613.80",0.2331,"2,50,313.16",0.4001
206,TAJIKISTAN,"7,630.08",0.0091,"7,452.33",0.0088,"10,34,625.66",0.91,"10,199.74",0.007,"1,40,587.13",0.086,"1,40,901.85",0.074,"13,33,672.70",0.7033,"9,32,864.15",0.5435,"6,54,302.22",0.3538,"6,98,697.94",0.3571,"5,53,490.49",0.2398,"5,30,066.73",0.2388,"39,496.21",0.0183,"26,405.02",0.0084,"10,81,303.68",0.2986,"12,63,803.95",0.3492,"5,399.13",0.0086
207,TANZANIA REP,"4,72,958.89",0.5625,"4,36,964.46",0.5168,"2,45,841.88",0.2162,"7,69,675.43",0.525,"16,55,512.26",1.013,"12,06,046.97",0.6331,"32,806.86",0.0173,"14,549.47",0.0085,"81,675.79",0.0442,"98,851.74",0.0505,"8,29,176.86",0.3593,"8,50,529.75",0.3831,"10,64,420.68",0.493,"17,22,386.07",0.5473,"83,554.02",0.0231,"52,271.08",0.0144,"6,05,891.32",0.9685
208,THAILAND,"8,72,399.50",1.0376,"8,22,762.26",0.9731,"93,209.83",0.082,"14,25,353.49",0.9723,"19,135.95",0.0117,"32,728.04",0.0172,"15,13,271.05",0.798,"10,80,038.12",0.6293,"14,66,603.92",0.793,"13,89,930.89",0.7104,"1,08,091.89",0.0468,"1,12,993.85",0.0509,"31,30,061.95",1.4497,"42,89,767.75",1.3631,"21,10,663.58",0.5828,"15,23,600.84",0.421,"6,33,119.31",1.012
209,TIMOR LESTE,422.42,0.0005,577.85,0.0007,"6,724.13",0.0059,"3,740.24",0.0026,"11,73,292.05",0.7179,"20,90,708.47",1.0975,"21,20,920.91",1.1184,"19,55,688.60",1.1394,"13,708.42",0.0074,"15,433.64",0.0079,"18,51,777.61",0.8024,"11,88,440.32",0.5354,"18,661.71",0.0086,"19,425.30",0.0062,"39,609.50",0.0109,"42,684.12",0.0118,"7,849.39",0.0125
210,TOGO,"65,620.17",0.078,"77,157.73",0.0913,324.03,0.0003,"1,73,489.05",0.1183,"20,31,024.16",1.2427,"22,43,108.17",1.1775,"1,992.33",0.0011,"2,235.10",0.0013,"11,96,655.93",0.647,"10,44,000.20",0.5336,"15,628.32",0.0068,"16,663.29",0.0075,"11,39,361.27",0.5277,"22,48,060.70",0.7143,"31,57,853.80",0.872,"38,26,430.09",1.0572,"5,49,492.59",0.8784
211,TOKELAU IS,15.8,0,1.35,0,"28,690.16",0.0252,22.89,0,"1,173.60",0.0007,"1,304.96",0.0007,"4,20,423.27",0.2217,"3,50,358.90",0.2041,"21,01,241.89",1.1362,"23,55,130.04",1.2037,"11,92,459.98",0.5167,"12,32,747.02",0.5553,624.78,0.0003,990.34,0.0003,"45,81,006.57",1.2649,"41,72,172.17",1.1528,20.22,0
212,TONGA,148.77,0.0002,227.17,0.0003,"1,28,162.45",0.1127,374.48,0.0003,"1,62,840.10",0.0996,"2,72,140.69",0.1429,0.17,0,,,"1,551.16",0.0008,"2,138.70",0.0011,"31,10,607.15",1.3479,"30,45,149.34",1.3718,"55,332.32",0.0256,"69,585.57",0.0221,"28,570.03",0.0079,"39,713.52",0.011,72.92,0.0001
213,TRINIDAD,"1,43,698.43",0.1709,"72,771.90",0.0861,"12,50,981.61",1.1003,"39,460.09",0.0269,17.4,0,95.53,0.0001,558.88,0.0003,725.66,0.0004,"2,11,638.20",0.1144,"2,63,860.17",0.1349,"3,686.13",0.0016,"4,496.83",0.002,"1,95,745.34",0.0907,"3,03,415.30",0.0964,"48,51,038.81",1.3395,"26,73,621.56",0.7387,"17,359.58",0.0277
214,TUNISIA,"96,789.44",0.1151,"1,00,692.71",0.1191,"11,900.06",0.0105,"1,36,882.73",0.0934,907.91,0.0006,640.08,0.0003,"1,01,113.75",0.0533,"60,682.88",0.0354,23.29,0,,,"4,87,099.73",0.2111,"7,39,505.61",0.3331,"29,23,183.60",1.3539,"65,03,732.44",2.0666,"1,164.51",0.0003,"1,315.33",0.0004,"46,134.34",0.0737
215,TURKEY,"6,37,029.19",0.7577,"7,27,779.93",0.8607,23.73,0,"16,89,401.15",1.1524,"44,379.47",0.0272,"63,012.98",0.0331,"1,52,610.65",0.0805,"1,45,889.41",0.085,806.2,0.0004,809.01,0.0004,1.47,0,0.54,0,"44,425.92",0.0206,"77,568.17",0.0246,"84,134.65",0.0232,"90,263.51",0.0249,"9,47,459.62",1.5145
216,TURKMENISTAN,"19,145.32",0.0228,"17,056.93",0.0202,55.98,0,"21,175.41",0.0144,"1,62,992.28",0.0997,"1,66,031.59",0.0872,"32,76,051.53",1.7276,"27,13,559.96",1.581,"56,690.72",0.0307,"57,170.34",0.0292,242.68,0.0001,467.38,0.0002,92.32,0,480.18,0.0002,"3,39,533.63",0.0938,"3,63,777.60",0.1005,"6,028.09",0.0096
217,TURKS C IS,236.38,0.0003,82.33,0.0001,"1,53,86,613.16",13.5331,84.21,0.0001,"21,52,437.88",1.317,"27,04,237.63",1.4195,"56,322.17",0.0297,"44,662.04",0.026,"1,71,246.69",0.0926,"1,81,649.74",0.0928,"58,464.53",0.0253,"60,229.64",0.0271,1.86,0,162.18,0.0001,"77,26,043.46",2.1334,"55,06,908.71",1.5215,75.17,0.0001
218,TUVALU,"2,959.92",0.0035,101.87,0.0001,"33,17,264.96",2.9177,6.96,0,"38,031.18",0.0233,"44,785.34",0.0235,88.33,0,106.03,0.0001,"31,03,080.31",1.6779,"32,81,480.12",1.6772,"2,12,654.08",0.0921,"1,73,635.52",0.0782,"1,23,33,391.82",5.7124,"2,09,15,828.49",6.6462,"71,970.34",0.0199,"30,981.80",0.0086,6.39,0
219,U ARAB EMTS,"1,10,22,907.95",13.1107,"1,13,34,791.85",13.4055,"1,15,19,450.49",10.1318,"1,72,26,846.75",11.7512,177.96,0.0001,238.96,0.0001,19.62,0,35.46,0,"38,662.91",0.0209,"35,047.17",0.0179,"38,05,911.90",1.6492,"35,22,495.49",1.5868,"60,24,489.75",2.7904,"77,99,211.31",2.4783,"1,417.05",0.0004,915.48,0.0003,"47,85,799.91",7.6501
220,U K,"30,34,457.97",3.6092,"29,47,631.02",3.4861,"1,33,159.65",0.1171,"41,14,022.86",2.8064,3.28,0,37.74,0,"2,01,85,269.18",10.6443,"1,98,30,623.30",11.5537,526.64,0.0003,736.78,0.0004,"32,045.18",0.0139,"23,964.06",0.0108,"3,81,84,452.93",17.6858,"5,67,96,119.26",18.0476,201.18,0.0001,88.34,0,"22,48,141.61",3.5936
221,U S A,"96,45,841.97",11.4728,"92,41,651.34",10.93,"2,33,329.09",0.2052,"1,66,45,541.98",11.3547,"1,97,83,205.07",12.1049,"1,84,77,865.27",9.6996,"56,96,907.25",3.0041,"57,76,986.12",3.3658,55.27,0,40.34,0,182.55,0.0001,451.4,0.0002,"4,96,814.30",0.2301,"5,19,916.83",0.1652,"2,53,85,238.28",7.0095,"2,95,09,524.29",8.1534,"1,18,13,979.03",18.8846
222,UGANDA,"1,00,749.23",0.1198,"98,077.16",0.116,"10,731.63",0.0094,"2,09,471.21",0.1429,"46,87,821.74",2.8684,"59,21,915.72",3.1086,"2,59,42,751.55",13.6804,"2,63,86,048.73",15.373,"2,08,93,949.32",11.2975,"1,81,45,692.74",9.2745,1.37,0,1.23,0,"3,33,835.38",0.1546,"3,51,750.60",0.1118,"91,71,501.11",2.5325,"1,06,96,407.40",2.9554,"64,547.04",0.1032
223,UKRAINE,"1,80,771.03",0.215,"1,36,124.32",0.161,"65,61,988.75",5.7715,"2,36,233.51",0.1611,"1,96,74,080.47",12.0381,"2,36,58,980.41",12.4193,"3,38,988.59",0.1788,"3,73,116.92",0.2174,"57,18,181.76",3.0919,"62,43,140.13",3.191,"2,10,21,093.32",9.109,"2,04,23,782.22",9.2005,"5,43,337.95",0.2517,"9,70,701.37",0.3085,"6,30,15,151.31",17.4001,"6,41,76,635.11",17.7318,"19,225.60",0.0307
224,UNION OF SERBIA & MONTENEGRO,"6,382.94",0.0076,"6,057.16",0.0072,"38,834.77",0.0342,"19,783.76",0.0135,"2,53,216.92",0.1549,"3,21,688.11",0.1689,"2,12,821.35",0.1122,"1,69,664.47",0.0988,"2,83,00,800.88",15.3024,"3,08,60,269.10",15.7731,"65,10,479.78",2.8212,"61,88,224.21",2.7877,"77,429.11",0.0359,"1,12,322.00",0.0357,"4,49,546.75",0.1241,"4,20,533.05",0.1162,"4,96,650.44",0.7939
225,UNSPECIFIED,"20,31,903.63",2.4168,"19,61,967.89",2.3204,"27,464.13",0.0242,"76,93,573.45",5.2481,"2,83,140.72",0.1732,"2,93,117.05",0.1539,"4,070.06",0.0021,878.57,0.0005,"3,31,545.85",0.1793,"3,43,072.19",0.1753,"3,66,48,039.35",15.8806,"3,76,16,554.11",16.9455,714.99,0.0003,246.12,0.0001,"1,06,502.35",0.0294,"1,43,465.66",0.0396,"19,883.31",0.0318
226,URUGUAY,"29,728.79",0.0354,"22,875.58",0.0271,"1,130.75",0.001,"67,549.83",0.0461,"38,695.33",0.0237,"18,213.49",0.0096,"25,29,718.89",1.334,"16,21,406.64",0.9447,"2,08,005.94",0.1125,"2,12,814.44",0.1088,"4,05,783.27",0.1758,"4,40,613.31",0.1985,"2,07,190.56",0.096,"2,02,305.81",0.0643,"24,48,253.58",0.676,"24,72,621.68",0.6832,51.86,0.0001
227,UZBEKISTAN,"20,927.32",0.0249,"25,647.28",0.0303,"79,917.13",0.0703,"43,018.55",0.0293,"29,54,168.02",1.8076,"69,07,256.66",3.6258,"1,27,018.41",0.067,"99,589.56",0.058,102.4,0.0001,0.59,0,"2,73,603.18",0.1186,"3,28,622.35",0.148,"1,665.87",0.0008,"2,351.73",0.0007,"1,24,483.49",0.0344,"4,32,683.02",0.1195,"66,661.08",0.1066
228,VANUATU REP,"2,409.86",0.0029,"1,074.92",0.0013,"12,04,507.36",1.0594,"1,276.45",0.0009,"78,080.84",0.0478,"97,547.74",0.0512,415.27,0.0002,112.35,0.0001,"16,55,458.32",0.8951,"15,66,194.76",0.8005,,,0.02,0,48.65,0,25.11,0,91.74,0,249.04,0.0001,414.33,0.0007
229,VENEZUELA,"84,764.70",0.1008,"86,921.27",0.1028,601.72,0.0005,"1,20,390.86",0.0821,"67,964.92",0.0416,"69,241.49",0.0363,"1,04,192.27",0.0549,"61,838.61",0.036,"1,26,264.69",0.0683,"1,02,772.95",0.0525,"20,32,943.91",0.8809,"18,02,082.50",0.8118,"4,12,489.78",0.1911,"2,48,399.90",0.0789,"2,27,923.62",0.0629,"3,08,589.90",0.0853,,
230,VIETNAM SOC REP,"7,94,947.72",0.9455,"8,67,397.61",1.0259,33.96,0,"18,08,498.30",1.2337,"1,869.45",0.0011,"1,686.33",0.0009,"1,137.06",0.0006,"1,315.96",0.0008,723.01,0.0004,336.89,0.0002,"1,26,813.68",0.055,"1,04,143.42",0.0469,"37,03,486.15",1.7153,"49,93,740.82",1.5868,"2,716.58",0.0008,"3,242.28",0.0009,"28,888.13",0.0462
231,VIRGIN IS US,621.12,0.0007,"2,038.21",0.0024,"2,35,168.43",0.2068,"1,874.41",0.0013,"1,27,720.81",0.0781,"1,19,553.74",0.0628,73.74,0,34.4,0,"72,852.59",0.0394,"85,598.98",0.0438,461.23,0.0002,279.93,0.0001,"55,932.52",0.0259,"3,195.12",0.001,128,0,75.12,0,"7,25,244.64",1.1593
232,WALLIS F IS,70.51,0.0001,74.5,0.0001,"53,905.17",0.0474,100.3,0.0001,"21,56,284.25",1.3194,"33,25,325.42",1.7456,"1,58,004.43",0.0833,"85,175.22",0.0496,"1,394.25",0.0008,"1,464.37",0.0007,"1,41,656.40",0.0614,"1,27,577.03",0.0575,17.05,0,3.55,0,"1,42,370.25",0.0393,"1,45,124.68",0.0401,331.17,0.0005
233,YEMEN REPUBLC,"3,53,281.31",0.4202,"3,45,017.76",0.408,"51,406.45",0.0452,"3,50,392.50",0.239,776.91,0.0005,"2,419.21",0.0013,"38,31,863.74",2.0207,"34,58,935.28",2.0152,27.47,0,73.9,0,"1,386.28",0.0006,"1,711.29",0.0008,"5,82,439.99",0.2698,"6,32,919.06",0.2011,"47,54,342.55",1.3128,"45,28,848.26",1.2513,"1,06,451.58",0.1702
234,ZAMBIA,"49,058.39",0.0584,"41,821.23",0.0495,,,"1,01,561.35",0.0693,11.06,0,0.43,0,"2,963.03",0.0016,"2,780.52",0.0016,"41,615.42",0.0225,"51,053.33",0.0261,19.54,0,22.68,0,"1,98,741.07",0.0921,"2,53,956.90",0.0807,"6,146.76",0.0017,"4,830.77",0.0013,"33,392.09",0.0534
235,ZIMBABWE,"27,617.27",0.0328,"22,902.89",0.0271,,,"61,939.81",0.0423,"8,02,402.33",0.491,"7,88,634.49",0.414,21.46,0,,,"45,50,869.28",2.4607,"50,38,837.66",2.5754,"1,15,404.78",0.05,"2,43,943.88",0.1099,"1,30,499.37",0.0604,"1,49,392.43",0.0475,0.89,0,,,"13,292.51",0.0212
,India's Total Export,"8,40,75,505.87",,"8,45,53,364.38",,,,,,"1,32,216.02",0.0809,"2,28,325.96",0.1199,"6,04,546.61",0.3188,"2,63,534.70",0.1535,"3,583.02",0.0019,"1,854.44",0.0009,"45,40,970.37",1.9677,"35,85,131.26",1.615,,,,,"7,99,647.98",0.2208,"7,25,649.32",0.2005,,
,,,,,,,,,,"83,354.53",0.051,"95,764.56",0.0503,"2,24,265.46",0.1183,"1,94,718.18",0.1134,3.61,0,33.03,0,"30,040.13",0.013,"56,386.57",0.0254,,,,,"2,24,632.70",0.062,"2,02,279.31",0.0559,,
DOC-NIC,,,,,,,,,,,,,,"1,37,273.87",0.0724,"1,33,319.50",0.0777,"2,98,951.88",0.1616,"3,63,203.77",0.1856,,,15.92,0,,,,,"1,25,862.03",0.0348,"1,26,169.37",0.0349,,
,,,,,,,,,,,,,,,,,,"1,58,945.83",0.0859,"1,89,757.74",0.097,"5,16,924.49",0.224,"5,12,021.11",0.2307,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"73,115.20",0.0395,"1,05,462.93",0.0539,"2,23,781.58",0.097,"1,75,418.66",0.079,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"1,26,882.06",0.055,"1,13,750.45",0.0512,,,,,,,,,,
